dataset,time_period,region_name,region_type,region_code,property_value
people_in_debt,2019,Amsterdam,Municipality,GM0363,375.0
people_in_debt,2020,Amsterdam,Municipality,GM0363,416.0
people_in_debt,2021,Amsterdam,Municipality,GM0363,423.0
people_in_debt,2022,Amsterdam,Municipality,GM0363,434.0
people_in_debt,2023,Amsterdam,Municipality,GM0363,517.0
people_in_debt,2019,Apeldoorn,Municipality,GM0200,245.0
people_in_debt,2020,Apeldoorn,Municipality,GM0200,263.0
people_in_debt,2021,Apeldoorn,Municipality,GM0200,278.0
people_in_debt,2022,Apeldoorn,Municipality,GM0200,306.0
people_in_debt,2023,Apeldoorn,Municipality,GM0200,378.0
people_in_debt,2019,Appingedam,Municipality,GM0003,143.0
people_in_debt,2020,Appingedam,Municipality,GM0003,155.0
people_in_debt,2021,Appingedam,Municipality,GM0003,
people_in_debt,2022,Appingedam,Municipality,GM0003,
people_in_debt,2023,Appingedam,Municipality,GM0003,
people_in_debt,2019,Arnhem,Municipality,GM0202,206.0
people_in_debt,2020,Arnhem,Municipality,GM0202,221.0
people_in_debt,2021,Arnhem,Municipality,GM0202,240.0
people_in_debt,2022,Arnhem,Municipality,GM0202,265.0
people_in_debt,2023,Arnhem,Municipality,GM0202,324.0
people_in_debt,2019,Assen,Municipality,GM0106,184.0
people_in_debt,2020,Assen,Municipality,GM0106,195.0
people_in_debt,2021,Assen,Municipality,GM0106,210.0
people_in_debt,2022,Assen,Municipality,GM0106,238.0
people_in_debt,2023,Assen,Municipality,GM0106,278.0
people_in_debt,2019,Asten,Municipality,GM0743,299.0
people_in_debt,2020,Asten,Municipality,GM0743,321.0
people_in_debt,2021,Asten,Municipality,GM0743,331.0
people_in_debt,2022,Asten,Municipality,GM0743,364.0
people_in_debt,2023,Asten,Municipality,GM0743,404.0
people_in_debt,2019,Baarle-Nassau,Municipality,GM0744,298.0
people_in_debt,2020,Baarle-Nassau,Municipality,GM0744,316.0
people_in_debt,2021,Baarle-Nassau,Municipality,GM0744,337.0
people_in_debt,2022,Baarle-Nassau,Municipality,GM0744,361.0
people_in_debt,2023,Baarle-Nassau,Municipality,GM0744,380.0
people_in_debt,2019,Baarn,Municipality,GM0308,316.0
people_in_debt,2020,Baarn,Municipality,GM0308,343.0
people_in_debt,2021,Baarn,Municipality,GM0308,373.0
people_in_debt,2022,Baarn,Municipality,GM0308,411.0
people_in_debt,2023,Baarn,Municipality,GM0308,472.0
people_in_debt,2019,Barendrecht,Municipality,GM0489,288.0
people_in_debt,2020,Barendrecht,Municipality,GM0489,314.0
people_in_debt,2021,Barendrecht,Municipality,GM0489,336.0
people_in_debt,2022,Barendrecht,Municipality,GM0489,368.0
people_in_debt,2023,Barendrecht,Municipality,GM0489,421.0
people_in_debt,2019,Barneveld,Municipality,GM0203,297.0
people_in_debt,2020,Barneveld,Municipality,GM0203,317.0
people_in_debt,2021,Barneveld,Municipality,GM0203,339.0
people_in_debt,2022,Barneveld,Municipality,GM0203,376.0
people_in_debt,2023,Barneveld,Municipality,GM0203,434.0
people_in_debt,2019,Beek (L.),Municipality,GM0888,205.0
people_in_debt,2020,Beek (L.),Municipality,GM0888,223.0
people_in_debt,2021,Beek (L.),Municipality,GM0888,238.0
people_in_debt,2022,Beek (L.),Municipality,GM0888,252.0
people_in_debt,2023,Beek (L.),Municipality,GM0888,293.0
people_in_debt,2019,Beekdaelen,Municipality,GM1954,213.0
people_in_debt,2020,Beekdaelen,Municipality,GM1954,230.0
people_in_debt,2021,Beekdaelen,Municipality,GM1954,245.0
people_in_debt,2022,Beekdaelen,Municipality,GM1954,263.0
people_in_debt,2023,Beekdaelen,Municipality,GM1954,305.0
people_in_debt,2019,Beemster,Municipality,GM0370,369.0
people_in_debt,2020,Beemster,Municipality,GM0370,405.0
people_in_debt,2021,Beemster,Municipality,GM0370,429.0
people_in_debt,2022,Beemster,Municipality,GM0370,
people_in_debt,2023,Beemster,Municipality,GM0370,
people_in_debt,2019,Beesel,Municipality,GM0889,201.0
people_in_debt,2020,Beesel,Municipality,GM0889,220.0
people_in_debt,2021,Beesel,Municipality,GM0889,238.0
people_in_debt,2022,Beesel,Municipality,GM0889,252.0
people_in_debt,2023,Beesel,Municipality,GM0889,292.0
people_in_debt,2019,Berg en Dal,Municipality,GM1945,244.0
people_in_debt,2020,Berg en Dal,Municipality,GM1945,259.0
people_in_debt,2021,Berg en Dal,Municipality,GM1945,276.0
people_in_debt,2022,Berg en Dal,Municipality,GM1945,304.0
people_in_debt,2023,Berg en Dal,Municipality,GM1945,349.0
people_in_debt,2019,Bergeijk,Municipality,GM1724,311.0
people_in_debt,2020,Bergeijk,Municipality,GM1724,325.0
people_in_debt,2021,Bergeijk,Municipality,GM1724,346.0
people_in_debt,2022,Bergeijk,Municipality,GM1724,385.0
people_in_debt,2023,Bergeijk,Municipality,GM1724,433.0
people_in_debt,2019,Bergen (L.),Municipality,GM0893,229.0
people_in_debt,2020,Bergen (L.),Municipality,GM0893,247.0
people_in_debt,2021,Bergen (L.),Municipality,GM0893,262.0
people_in_debt,2022,Bergen (L.),Municipality,GM0893,281.0
people_in_debt,2023,Bergen (L.),Municipality,GM0893,327.0
people_in_debt,2019,Bergen (NH.),Municipality,GM0373,381.0
people_in_debt,2020,Bergen (NH.),Municipality,GM0373,414.0
people_in_debt,2021,Bergen (NH.),Municipality,GM0373,439.0
people_in_debt,2022,Bergen (NH.),Municipality,GM0373,477.0
people_in_debt,2023,Bergen (NH.),Municipality,GM0373,549.0
people_in_debt,2019,Bergen op Zoom,Municipality,GM0748,221.0
people_in_debt,2020,Bergen op Zoom,Municipality,GM0748,233.0
people_in_debt,2021,Bergen op Zoom,Municipality,GM0748,249.0
people_in_debt,2022,Bergen op Zoom,Municipality,GM0748,270.0
people_in_debt,2023,Bergen op Zoom,Municipality,GM0748,304.0
people_in_debt,2019,Berkelland,Municipality,GM1859,241.0
people_in_debt,2020,Berkelland,Municipality,GM1859,255.0
people_in_debt,2021,Berkelland,Municipality,GM1859,273.0
people_in_debt,2022,Berkelland,Municipality,GM1859,299.0
people_in_debt,2023,Berkelland,Municipality,GM1859,357.0
people_in_debt,2019,Bernheze,Municipality,GM1721,306.0
people_in_debt,2020,Bernheze,Municipality,GM1721,326.0
people_in_debt,2021,Bernheze,Municipality,GM1721,333.0
people_in_debt,2022,Bernheze,Municipality,GM1721,374.0
people_in_debt,2023,Bernheze,Municipality,GM1721,427.0
people_in_debt,2019,Best,Municipality,GM0753,292.0
people_in_debt,2020,Best,Municipality,GM0753,308.0
people_in_debt,2021,Best,Municipality,GM0753,321.0
people_in_debt,2022,Best,Municipality,GM0753,359.0
people_in_debt,2023,Best,Municipality,GM0753,404.0
people_in_debt,2019,Beuningen,Municipality,GM0209,251.0
people_in_debt,2020,Beuningen,Municipality,GM0209,271.0
people_in_debt,2021,Beuningen,Municipality,GM0209,291.0
people_in_debt,2022,Beuningen,Municipality,GM0209,329.0
people_in_debt,2023,Beuningen,Municipality,GM0209,377.0
people_in_debt,2019,Beverwijk,Municipality,GM0375,214.0
people_in_debt,2020,Beverwijk,Municipality,GM0375,239.0
people_in_debt,2021,Beverwijk,Municipality,GM0375,259.0
people_in_debt,2022,Beverwijk,Municipality,GM0375,286.0
people_in_debt,2023,Beverwijk,Municipality,GM0375,341.0
people_in_debt,2019,De Bilt,Municipality,GM0310,394.0
people_in_debt,2020,De Bilt,Municipality,GM0310,421.0
people_in_debt,2021,De Bilt,Municipality,GM0310,446.0
people_in_debt,2022,De Bilt,Municipality,GM0310,473.0
people_in_debt,2023,De Bilt,Municipality,GM0310,581.0
people_in_debt,2019,Bladel,Municipality,GM1728,293.0
people_in_debt,2020,Bladel,Municipality,GM1728,310.0
people_in_debt,2021,Bladel,Municipality,GM1728,331.0
people_in_debt,2022,Bladel,Municipality,GM1728,367.0
people_in_debt,2023,Bladel,Municipality,GM1728,409.0
people_in_debt,2019,Blaricum,Municipality,GM0376,590.0
people_in_debt,2020,Blaricum,Municipality,GM0376,636.0
people_in_debt,2021,Blaricum,Municipality,GM0376,686.0
people_in_debt,2022,Blaricum,Municipality,GM0376,731.0
people_in_debt,2023,Blaricum,Municipality,GM0376,846.0
people_in_debt,2019,Bloemendaal,Municipality,GM0377,681.0
people_in_debt,2020,Bloemendaal,Municipality,GM0377,735.0
people_in_debt,2021,Bloemendaal,Municipality,GM0377,775.0
people_in_debt,2022,Bloemendaal,Municipality,GM0377,830.0
people_in_debt,2023,Bloemendaal,Municipality,GM0377,932.0
people_in_debt,2019,Bodegraven-Reeuwijk,Municipality,GM1901,307.0
people_in_debt,2020,Bodegraven-Reeuwijk,Municipality,GM1901,330.0
people_in_debt,2021,Bodegraven-Reeuwijk,Municipality,GM1901,352.0
people_in_debt,2022,Bodegraven-Reeuwijk,Municipality,GM1901,381.0
people_in_debt,2023,Bodegraven-Reeuwijk,Municipality,GM1901,432.0
people_in_debt,2019,Boekel,Municipality,GM0755,285.0
people_in_debt,2020,Boekel,Municipality,GM0755,304.0
people_in_debt,2021,Boekel,Municipality,GM0755,309.0
people_in_debt,2022,Boekel,Municipality,GM0755,344.0
people_in_debt,2023,Boekel,Municipality,GM0755,398.0
people_in_debt,2019,Borger-Odoorn,Municipality,GM1681,197.0
people_in_debt,2020,Borger-Odoorn,Municipality,GM1681,209.0
people_in_debt,2021,Borger-Odoorn,Municipality,GM1681,227.0
people_in_debt,2022,Borger-Odoorn,Municipality,GM1681,253.0
people_in_debt,2023,Borger-Odoorn,Municipality,GM1681,297.0
people_in_debt,2019,Borne,Municipality,GM0147,246.0
people_in_debt,2020,Borne,Municipality,GM0147,261.0
people_in_debt,2021,Borne,Municipality,GM0147,280.0
people_in_debt,2022,Borne,Municipality,GM0147,313.0
people_in_debt,2023,Borne,Municipality,GM0147,370.0
people_in_debt,2019,Borsele,Municipality,GM0654,222.0
people_in_debt,2020,Borsele,Municipality,GM0654,232.0
people_in_debt,2021,Borsele,Municipality,GM0654,242.0
people_in_debt,2022,Borsele,Municipality,GM0654,265.0
people_in_debt,2023,Borsele,Municipality,GM0654,295.0
people_in_debt,2019,Boxmeer,Municipality,GM0756,250.0
people_in_debt,2020,Boxmeer,Municipality,GM0756,256.0
people_in_debt,2021,Boxmeer,Municipality,GM0756,266.0
people_in_debt,2022,Boxmeer,Municipality,GM0756,
people_in_debt,2023,Boxmeer,Municipality,GM0756,
people_in_debt,2019,Boxtel,Municipality,GM0757,267.0
people_in_debt,2020,Boxtel,Municipality,GM0757,284.0
people_in_debt,2021,Boxtel,Municipality,GM0757,298.0
people_in_debt,2022,Boxtel,Municipality,GM0757,324.0
people_in_debt,2023,Boxtel,Municipality,GM0757,376.0
people_in_debt,2019,Breda,Municipality,GM0758,271.0
people_in_debt,2020,Breda,Municipality,GM0758,292.0
people_in_debt,2021,Breda,Municipality,GM0758,313.0
people_in_debt,2022,Breda,Municipality,GM0758,336.0
people_in_debt,2023,Breda,Municipality,GM0758,382.0
people_in_debt,2019,Brielle,Municipality,GM0501,237.0
people_in_debt,2020,Brielle,Municipality,GM0501,258.0
people_in_debt,2021,Brielle,Municipality,GM0501,277.0
people_in_debt,2022,Brielle,Municipality,GM0501,306.0
people_in_debt,2023,Brielle,Municipality,GM0501,
people_in_debt,2019,Bronckhorst,Municipality,GM1876,272.0
people_in_debt,2020,Bronckhorst,Municipality,GM1876,290.0
people_in_debt,2021,Bronckhorst,Municipality,GM1876,303.0
people_in_debt,2022,Bronckhorst,Municipality,GM1876,352.0
people_in_debt,2023,Bronckhorst,Municipality,GM1876,419.0
people_in_debt,2019,Brummen,Municipality,GM0213,253.0
people_in_debt,2020,Brummen,Municipality,GM0213,265.0
people_in_debt,2021,Brummen,Municipality,GM0213,279.0
people_in_debt,2022,Brummen,Municipality,GM0213,311.0
people_in_debt,2023,Brummen,Municipality,GM0213,372.0
people_in_debt,2019,Brunssum,Municipality,GM0899,148.0
people_in_debt,2020,Brunssum,Municipality,GM0899,161.0
people_in_debt,2021,Brunssum,Municipality,GM0899,172.0
people_in_debt,2022,Brunssum,Municipality,GM0899,188.0
people_in_debt,2023,Brunssum,Municipality,GM0899,222.0
people_in_debt,2019,Bunnik,Municipality,GM0312,350.0
people_in_debt,2020,Bunnik,Municipality,GM0312,382.0
people_in_debt,2021,Bunnik,Municipality,GM0312,407.0
people_in_debt,2022,Bunnik,Municipality,GM0312,435.0
people_in_debt,2023,Bunnik,Municipality,GM0312,531.0
people_in_debt,2019,Bunschoten,Municipality,GM0313,293.0
people_in_debt,2020,Bunschoten,Municipality,GM0313,314.0
people_in_debt,2021,Bunschoten,Municipality,GM0313,340.0
people_in_debt,2022,Bunschoten,Municipality,GM0313,374.0
people_in_debt,2023,Bunschoten,Municipality,GM0313,420.0
people_in_debt,2019,Buren,Municipality,GM0214,307.0
people_in_debt,2020,Buren,Municipality,GM0214,327.0
people_in_debt,2021,Buren,Municipality,GM0214,345.0
people_in_debt,2022,Buren,Municipality,GM0214,380.0
people_in_debt,2023,Buren,Municipality,GM0214,416.0
people_in_debt,2019,Capelle aan den IJssel,Municipality,GM0502,204.0
people_in_debt,2020,Capelle aan den IJssel,Municipality,GM0502,229.0
people_in_debt,2021,Capelle aan den IJssel,Municipality,GM0502,246.0
people_in_debt,2022,Capelle aan den IJssel,Municipality,GM0502,270.0
people_in_debt,2023,Capelle aan den IJssel,Municipality,GM0502,310.0
people_in_debt,2019,Castricum,Municipality,GM0383,313.0
people_in_debt,2020,Castricum,Municipality,GM0383,340.0
people_in_debt,2021,Castricum,Municipality,GM0383,370.0
people_in_debt,2022,Castricum,Municipality,GM0383,405.0
people_in_debt,2023,Castricum,Municipality,GM0383,479.0
people_in_debt,2019,Coevorden,Municipality,GM0109,203.0
people_in_debt,2020,Coevorden,Municipality,GM0109,214.0
people_in_debt,2021,Coevorden,Municipality,GM0109,225.0
people_in_debt,2022,Coevorden,Municipality,GM0109,250.0
people_in_debt,2023,Coevorden,Municipality,GM0109,287.0
people_in_debt,2019,Cranendonck,Municipality,GM1706,262.0
people_in_debt,2020,Cranendonck,Municipality,GM1706,279.0
people_in_debt,2021,Cranendonck,Municipality,GM1706,296.0
people_in_debt,2022,Cranendonck,Municipality,GM1706,328.0
people_in_debt,2023,Cranendonck,Municipality,GM1706,355.0
people_in_debt,2019,Cuijk,Municipality,GM1684,225.0
people_in_debt,2020,Cuijk,Municipality,GM1684,238.0
people_in_debt,2021,Cuijk,Municipality,GM1684,256.0
people_in_debt,2022,Cuijk,Municipality,GM1684,
people_in_debt,2023,Cuijk,Municipality,GM1684,
people_in_debt,2019,Culemborg,Municipality,GM0216,235.0
people_in_debt,2020,Culemborg,Municipality,GM0216,253.0
people_in_debt,2021,Culemborg,Municipality,GM0216,275.0
people_in_debt,2022,Culemborg,Municipality,GM0216,308.0
people_in_debt,2023,Culemborg,Municipality,GM0216,369.0
people_in_debt,2019,Dalfsen,Municipality,GM0148,294.0
people_in_debt,2020,Dalfsen,Municipality,GM0148,312.0
people_in_debt,2021,Dalfsen,Municipality,GM0148,329.0
people_in_debt,2022,Dalfsen,Municipality,GM0148,356.0
people_in_debt,2023,Dalfsen,Municipality,GM0148,400.0
people_in_debt,2019,Dantumadiel,Municipality,GM1891,184.0
people_in_debt,2020,Dantumadiel,Municipality,GM1891,193.0
people_in_debt,2021,Dantumadiel,Municipality,GM1891,214.0
people_in_debt,2022,Dantumadiel,Municipality,GM1891,248.0
people_in_debt,2023,Dantumadiel,Municipality,GM1891,291.0
people_in_debt,2019,Delft,Municipality,GM0503,211.0
people_in_debt,2020,Delft,Municipality,GM0503,241.0
people_in_debt,2021,Delft,Municipality,GM0503,263.0
people_in_debt,2022,Delft,Municipality,GM0503,288.0
people_in_debt,2023,Delft,Municipality,GM0503,322.0
people_in_debt,2019,Delfzijl,Municipality,GM0010,131.0
people_in_debt,2020,Delfzijl,Municipality,GM0010,138.0
people_in_debt,2021,Delfzijl,Municipality,GM0010,
people_in_debt,2022,Delfzijl,Municipality,GM0010,
people_in_debt,2023,Delfzijl,Municipality,GM0010,
people_in_debt,2019,Deurne,Municipality,GM0762,275.0
people_in_debt,2020,Deurne,Municipality,GM0762,297.0
people_in_debt,2021,Deurne,Municipality,GM0762,304.0
people_in_debt,2022,Deurne,Municipality,GM0762,340.0
people_in_debt,2023,Deurne,Municipality,GM0762,387.0
people_in_debt,2019,Deventer,Municipality,GM0150,210.0
people_in_debt,2020,Deventer,Municipality,GM0150,225.0
people_in_debt,2021,Deventer,Municipality,GM0150,242.0
people_in_debt,2022,Deventer,Municipality,GM0150,272.0
people_in_debt,2023,Deventer,Municipality,GM0150,324.0
people_in_debt,2019,Diemen,Municipality,GM0384,275.0
people_in_debt,2020,Diemen,Municipality,GM0384,307.0
people_in_debt,2021,Diemen,Municipality,GM0384,330.0
people_in_debt,2022,Diemen,Municipality,GM0384,365.0
people_in_debt,2023,Diemen,Municipality,GM0384,429.0
people_in_debt,2019,Dijk en Waard,Municipality,GM1980,
people_in_debt,2020,Dijk en Waard,Municipality,GM1980,
people_in_debt,2021,Dijk en Waard,Municipality,GM1980,
people_in_debt,2022,Dijk en Waard,Municipality,GM1980,312.0
people_in_debt,2023,Dijk en Waard,Municipality,GM1980,367.0
people_in_debt,2019,Dinkelland,Municipality,GM1774,284.0
people_in_debt,2020,Dinkelland,Municipality,GM1774,298.0
people_in_debt,2021,Dinkelland,Municipality,GM1774,312.0
people_in_debt,2022,Dinkelland,Municipality,GM1774,340.0
people_in_debt,2023,Dinkelland,Municipality,GM1774,379.0
people_in_debt,2019,Doesburg,Municipality,GM0221,199.0
people_in_debt,2020,Doesburg,Municipality,GM0221,211.0
people_in_debt,2021,Doesburg,Municipality,GM0221,229.0
people_in_debt,2022,Doesburg,Municipality,GM0221,253.0
people_in_debt,2023,Doesburg,Municipality,GM0221,288.0
people_in_debt,2019,Doetinchem,Municipality,GM0222,209.0
people_in_debt,2020,Doetinchem,Municipality,GM0222,220.0
people_in_debt,2021,Doetinchem,Municipality,GM0222,235.0
people_in_debt,2022,Doetinchem,Municipality,GM0222,259.0
people_in_debt,2023,Doetinchem,Municipality,GM0222,303.0
people_in_debt,2019,Dongen,Municipality,GM0766,248.0
people_in_debt,2020,Dongen,Municipality,GM0766,266.0
people_in_debt,2021,Dongen,Municipality,GM0766,283.0
people_in_debt,2022,Dongen,Municipality,GM0766,305.0
people_in_debt,2023,Dongen,Municipality,GM0766,342.0
people_in_debt,2019,Dordrecht,Municipality,GM0505,188.0
people_in_debt,2020,Dordrecht,Municipality,GM0505,207.0
people_in_debt,2021,Dordrecht,Municipality,GM0505,226.0
people_in_debt,2022,Dordrecht,Municipality,GM0505,248.0
people_in_debt,2023,Dordrecht,Municipality,GM0505,297.0
people_in_debt,2019,Drechterland,Municipality,GM0498,264.0
people_in_debt,2020,Drechterland,Municipality,GM0498,283.0
people_in_debt,2021,Drechterland,Municipality,GM0498,305.0
people_in_debt,2022,Drechterland,Municipality,GM0498,336.0
people_in_debt,2023,Drechterland,Municipality,GM0498,402.0
people_in_debt,2019,Drimmelen,Municipality,GM1719,257.0
people_in_debt,2020,Drimmelen,Municipality,GM1719,272.0
people_in_debt,2021,Drimmelen,Municipality,GM1719,294.0
people_in_debt,2022,Drimmelen,Municipality,GM1719,337.0
people_in_debt,2023,Drimmelen,Municipality,GM1719,372.0
people_in_debt,2019,Dronten,Municipality,GM0303,230.0
people_in_debt,2020,Dronten,Municipality,GM0303,244.0
people_in_debt,2021,Dronten,Municipality,GM0303,260.0
