ID,Leeftijd,Perioden,KinderenMetKansOpArmoede_2,KinderenMetKansOpArmoedeRelatief_3,Key,Title,Description
450,41300,2021JJ00,,,GM0003,Appingedam,"Opgeheven per 01-01-2021
Begindatum voor 1830"
461,41300,2021JJ00,4.1,14.3,GM0202,Arnhem,Begindatum voor 1830
472,41300,2021JJ00,1.3,9.7,GM0106,Assen,Begindatum voor 1830
483,41300,2021JJ00,0.1,4.6,GM0743,Asten,Begindatum voor 1830
494,41300,2021JJ00,0.1,6.2,GM0744,Baarle-Nassau,Begindatum voor 1830
505,41300,2021JJ00,0.3,6.4,GM0308,Baarn,Begindatum voor 1830
516,41300,2021JJ00,0.5,5.1,GM0489,Barendrecht,Naamswijziging per 10-12-1886
527,41300,2021JJ00,0.6,4.2,GM0203,Barneveld,Begindatum voor 1830
538,41300,2021JJ00,,,GM0005,Bedum,"Opgeheven per 01-01-2019
Begindatum voor 1830"
549,41300,2021JJ00,0.2,9.6,GM0888,Beek (L.),Begindatum 02-01-1839
560,41300,2021JJ00,0.4,7.7,GM1954,Beekdaelen,Ontstaan per 01-01-2019
571,41300,2021JJ00,0.1,4.4,GM0370,Beemster,"Opgeheven per 01-01-2022
Begindatum voor 1830"
582,41300,2021JJ00,0.2,10.1,GM0889,Beesel,Begindatum 02-01-1839
593,41300,2021JJ00,,,GM0007,Bellingwedde,"Opgeheven per 01-01-2018
Ontstaan per 01-09-1968"
604,41300,2021JJ00,0.5,8.4,GM1945,Berg en Dal,Naamswijziging per 01-01-2016
615,41300,2021JJ00,,,GM0491,Bergambacht,"Opgeheven per 01-01-2015
Begindatum voor 1830"
626,41300,2021JJ00,0.1,4.1,GM1724,Bergeijk,Naamswijziging per 25-09-1998
637,41300,2021JJ00,0.1,6.5,GM0893,Bergen (L.),Begindatum 02-01-1839
648,41300,2021JJ00,0.2,5.4,GM0373,Bergen (NH.),"Gemeentelijke herindeling per 01-01-2001
Begindatum voor 1830"
659,41300,2021JJ00,1.4,12.0,GM0748,Bergen op Zoom,"Gemeentelijke herindeling per 01-01-1997
Begindatum voor 1830"
670,41300,2021JJ00,0.5,6.0,GM1859,Berkelland,Ontstaan per 01-01-2005
681,41300,2021JJ00,0.3,4.7,GM1721,Bernheze,Naamswijziging per 28-01-1995
692,41300,2021JJ00,,,GM0568,Bernisse,"Opgeheven per 01-01-2015
Ontstaan per 01-01-1980"
703,41300,2021JJ00,0.3,5.8,GM0753,Best,Begindatum voor 1830
714,41300,2021JJ00,0.3,6.2,GM0209,Beuningen,Begindatum voor 1830
725,41300,2021JJ00,0.8,10.5,GM0375,Beverwijk,Begindatum voor 1830
736,41300,2021JJ00,,,GM0063,het Bildt,"Opgeheven per 01-01-2018
Begindatum voor 1830"
747,41300,2021JJ00,0.6,6.7,GM0310,De Bilt,"Gemeentelijke herindeling per 01-01-2001
Begindatum voor 1830"
758,41300,2021JJ00,,,GM0585,Binnenmaas,"Opgeheven per 01-01-2019
Gemeentelijke herindeling per 01-01-2007
Ontstaan per 01-01-1984"
769,41300,2021JJ00,0.1,4.0,GM1728,Bladel,Ontstaan per 01-01-1997
780,41300,2021JJ00,0.1,5.2,GM0376,Blaricum,Begindatum voor 1830
791,41300,2021JJ00,0.2,3.8,GM0377,Bloemendaal,"Gemeentelijke herindeling per 01-01-2009
Begindatum voor 1830"
802,41300,2021JJ00,,,GM0055,Boarnsterhim,"Opgeheven per 01-01-2014
Naamswijziging per 03-01-1985"
813,41300,2021JJ00,0.4,4.9,GM1901,Bodegraven-Reeuwijk,Ontstaan per 01-01-2011
824,41300,2021JJ00,0.1,4.1,GM0755,Boekel,Begindatum voor 1830
835,41300,2021JJ00,,,GM0009,Ten Boer,"Opgeheven per 01-01-2019
Begindatum voor 1830"
846,41300,2021JJ00,0.3,7.3,GM1681,Borger-Odoorn,Ontstaan per 01-01-1998
857,41300,2021JJ00,0.2,4.8,GM0147,Borne,Begindatum voor 1830
868,41300,2021JJ00,0.2,4.4,GM0654,Borsele,Naamswijziging per 01-01-1970
879,41300,2021JJ00,,,GM0499,Boskoop,"Opgeheven per 01-01-2014
Begindatum voor 1830"
890,41300,2021JJ00,0.3,6.5,GM0756,Boxmeer,"Opgeheven per 01-01-2022
Gemeentelijke herindeling per 01-01-1998
Gemeentelijke herindeling per 01-01-1994
Begindatum voor 1830"
901,41300,2021JJ00,0.4,7.5,GM0757,Boxtel,"Gemeentelijke herindeling per 01-01-2021
Gemeentelijke herindeling per 01-01-1996
Begindatum voor 1830"
912,41300,2021JJ00,3.0,9.1,GM0758,Breda,"Gemeentelijke herindeling per 01-01-1997
Begindatum voor 1830"
923,41300,2021JJ00,0.2,6.6,GM0501,Brielle,"Opgeheven per 01-01-2023
Begindatum voor 1830"
934,41300,2021JJ00,0.3,4.6,GM1876,Bronckhorst,Ontstaan per 01-01-2005
945,41300,2021JJ00,0.2,6.4,GM0213,Brummen,Begindatum voor 1830
956,41300,2021JJ00,0.5,13.1,GM0899,Brunssum,Begindatum 02-01-1839
967,41300,2021JJ00,0.1,3.4,GM0312,Bunnik,Begindatum voor 1830
978,41300,2021JJ00,0.2,4.3,GM0313,Bunschoten,Begindatum voor 1830
989,41300,2021JJ00,0.3,5.6,GM0214,Buren,"Gemeentelijke herindeling per 01-01-1999
Begindatum voor 1830"
1000,41300,2021JJ00,,,GM0381,Bussum,"Opgeheven per 01-01-2016
Begindatum voor 1830"
1011,41300,2021JJ00,1.6,12.9,GM0502,Capelle aan den IJssel,Begindatum voor 1830
1022,41300,2021JJ00,0.3,4.5,GM0383,Castricum,"Gemeentelijke herindeling per 01-01-2002
Begindatum voor 1830"
1033,41300,2021JJ00,0.6,9.7,GM0109,Coevorden,"Gemeentelijke herindeling per 01-01-1998
Begindatum voor 1830"
1044,41300,2021JJ00,0.2,6.1,GM1706,Cranendonck,Naamswijziging per 28-01-1998
1055,41300,2021JJ00,,,GM0611,Cromstrijen,"Opgeheven per 01-01-2019
Ontstaan per 01-01-1984"
1066,41300,2021JJ00,0.3,7.5,GM1684,Cuijk,"Opgeheven per 01-01-2022
Ontstaan per 01-01-1994"
1077,41300,2021JJ00,0.4,6.5,GM0216,Culemborg,Begindatum voor 1830
1088,41300,2021JJ00,0.2,3.8,GM0148,Dalfsen,"Gemeentelijke herindeling per 01-01-2001
Begindatum voor 1830"
1099,41300,2021JJ00,0.3,6.9,GM1891,Dantumadiel,Naamswijziging per 01-01-2009
1110,41300,2021JJ00,2.0,14.0,GM0503,Delft,Begindatum voor 1830
1121,41300,2021JJ00,,,GM0010,Delfzijl,"Opgeheven per 01-01-2021
Begindatum voor 1830"
1132,41300,2021JJ00,0.4,6.0,GM0762,Deurne,Naamswijziging per 01-01-1926
1143,41300,2021JJ00,1.9,10.1,GM0150,Deventer,"Gemeentelijke herindeling per 01-01-2005
Gemeentelijke herindeling per 01-01-1999
Begindatum voor 1830"
1154,41300,2021JJ00,0.5,9.5,GM0384,Diemen,Begindatum voor 1830
1165,41300,2021JJ00,,,GM1980,Dijk en Waard,Ontstaan per 01-01-2022
1176,41300,2021JJ00,0.2,4.0,GM1774,Dinkelland,Naamswijziging per 01-06-2002
1187,41300,2021JJ00,,,GM0504,Dirksland,"Opgeheven per 01-01-2013
Begindatum voor 1830"
1198,41300,2021JJ00,0.2,13.9,GM0221,Doesburg,Begindatum voor 1830
1209,41300,2021JJ00,1.0,9.1,GM0222,Doetinchem,"Gemeentelijke herindeling per 01-01-2005
Begindatum 01-01-1920"
1220,41300,2021JJ00,0.3,6.0,GM0766,Dongen,"Gemeentelijke herindeling per 01-01-1997
Begindatum voor 1830"
1231,41300,2021JJ00,,,GM0058,Dongeradeel,"Opgeheven per 01-01-2019
Ontstaan per 01-01-1984"
1242,41300,2021JJ00,2.5,11.8,GM0505,Dordrecht,Begindatum voor 1830
1253,41300,2021JJ00,0.2,5.7,GM0498,Drechterland,"Gemeentelijke herindeling per 01-01-2006
Naamswijziging per 01-01-1980"
1264,41300,2021JJ00,0.2,4.9,GM1719,Drimmelen,Naamswijziging per 25-04-1998
1275,41300,2021JJ00,0.6,7.1,GM0303,Dronten,Ontstaan per 01-01-1972
1286,41300,2021JJ00,0.2,5.9,GM0225,Druten,Begindatum voor 1830
1297,41300,2021JJ00,0.3,6.6,GM0226,Duiven,Begindatum voor 1830
1308,41300,2021JJ00,0.4,8.2,GM1711,Echt-Susteren,Ontstaan per 01-01-2003
1319,41300,2021JJ00,0.3,4.9,GM0385,Edam-Volendam,"Gemeentelijke herindeling per 01-01-2016
Naamswijziging per 01-01-1975"
1330,41300,2021JJ00,1.4,5.5,GM0228,Ede,Begindatum voor 1830
1341,41300,2021JJ00,0.1,4.6,GM0317,Eemnes,Begindatum voor 1830
1352,41300,2021JJ00,1.1,14.7,GM1979,Eemsdelta,Ontstaan per 01-01-2021
1363,41300,2021JJ00,,,GM1651,Eemsmond,"Opgeheven per 01-01-2019
Naamswijziging per 01-01-1992"
1374,41300,2021JJ00,0.1,3.9,GM0770,Eersel,"Gemeentelijke herindeling per 01-01-1997
Begindatum voor 1830"
1385,41300,2021JJ00,0.2,3.9,GM1903,Eijsden-Margraten,Ontstaan per 01-01-2011
1396,41300,2021JJ00,4.7,12.2,GM0772,Eindhoven,Begindatum voor 1830
1407,41300,2021JJ00,0.3,6.3,GM0230,Elburg,Begindatum voor 1830
1418,41300,2021JJ00,2.1,11.5,GM0114,Emmen,"Gemeentelijke herindeling per 01-01-1998
Begindatum voor 1830"
1429,41300,2021JJ00,0.3,8.7,GM0388,Enkhuizen,Begindatum voor 1830
1440,41300,2021JJ00,4.0,14.8,GM0153,Enschede,Begindatum voor 1830
1451,41300,2021JJ00,0.4,6.5,GM0232,Epe,Begindatum voor 1830
1462,41300,2021JJ00,0.3,6.2,GM0233,Ermelo,Begindatum voor 1830
1473,41300,2021JJ00,0.6,7.4,GM0777,Etten-Leur,Naamswijziging per 01-01-1968
1484,41300,2021JJ00,,,GM1722,Ferwerderadiel,"Opgeheven per 01-01-2019
Naamswijziging per 01-01-1999"
1495,41300,2021JJ00,,,GM0070,Franekeradeel,"Opgeheven per 01-01-2018
Begindatum voor 1830"
1506,41300,2021JJ00,,,GM1921,De Friese Meren,"Naamswijziging per 01-07-2015
Ontstaan per 01-01-2014"
1517,41300,2021JJ00,0.6,5.8,GM1940,De Fryske Marren,Naamswijziging per 01-07-2015
1528,41300,2021JJ00,,,GM0653,Gaasterlân-Sleat,"Opgeheven per 01-01-2014
Naamswijziging per 05-06-1985"
1539,41300,2021JJ00,0.4,8.9,GM0779,Geertruidenberg,"Gemeentelijke herindeling per 01-01-1997
Begindatum voor 1830"
1550,41300,2021JJ00,,,GM0236,Geldermalsen,"Opgeheven per 01-01-2019
Begindatum voor 1830"
1561,41300,2021JJ00,0.5,7.5,GM1771,Geldrop-Mierlo,Ontstaan per 01-01-2004
1572,41300,2021JJ00,0.4,6.5,GM1652,Gemert-Bakel,Ontstaan per 01-01-1997
1583,41300,2021JJ00,0.2,6.3,GM0907,Gennep,Begindatum 02-01-1839
1594,41300,2021JJ00,,,GM0689,Giessenlanden,"Opgeheven per 01-01-2019
Ontstaan per 01-01-1986"
1605,41300,2021JJ00,0.4,8.0,GM0784,Gilze en Rijen,Begindatum voor 1830
1616,41300,2021JJ00,,,GM0511,Goedereede,"Opgeheven per 01-01-2013
Begindatum voor 1830"
1627,41300,2021JJ00,0.5,5.6,GM1924,Goeree-Overflakkee,Ontstaan per 01-01-2013
1638,41300,2021JJ00,0.6,8.7,GM0664,Goes,Begindatum voor 1830
1649,41300,2021JJ00,0.2,4.8,GM0785,Goirle,Begindatum voor 1830
1660,41300,2021JJ00,0.6,4.7,GM1942,Gooise Meren,Ontstaan per 01-01-2016
1671,41300,2021JJ00,0.7,9.3,GM0512,Gorinchem,Begindatum voor 1830
1682,41300,2021JJ00,1.3,9.7,GM0513,Gouda,Begindatum voor 1830
1693,41300,2021JJ00,,,GM0693,Graafstroom,"Opgeheven per 01-01-2013
Ontstaan per 01-01-1986"
1704,41300,2021JJ00,,,GM0365,Graft-De Rijp,"Opgeheven per 01-01-2015
Ontstaan per 01-08-1970"
1715,41300,2021JJ00,0.2,7.6,GM0786,Grave,"Opgeheven per 01-01-2022
Begindatum voor 1830"
1726,41300,2021JJ00,16.4,16.3,GM0518,'s-Gravenhage (gemeente),Begindatum voor 1830
1737,41300,2021JJ00,,,GM0241,Groesbeek,"Naamswijziging per 01-01-2016
Gemeentelijke herindeling per 01-01-2015
Begindatum voor 1830"
1748,41300,2021JJ00,4.5,13.8,GM0014,Groningen (gemeente),"Gemeentelijke herindeling per 01-01-2019
Begindatum voor 1830"
1759,41300,2021JJ00,,,GM0015,Grootegast,"Opgeheven per 01-01-2019
Begindatum voor 1830"
1770,41300,2021JJ00,0.1,6.0,GM1729,Gulpen-Wittem,Ontstaan per 01-01-1999
1781,41300,2021JJ00,0.3,6.5,GM0158,Haaksbergen,Begindatum voor 1830
1792,41300,2021JJ00,,,GM0788,Haaren,"Opgeheven per 01-01-2021
Gemeentelijke herindeling per 01-01-1996
Begindatum voor 1830"
1803,41300,2021JJ00,2.9,9.2,GM0392,Haarlem,Begindatum voor 1830
1814,41300,2021JJ00,,,GM0393,Haarlemmerliede en Spaarnwoude,"Opgeheven per 01-01-2019
Begindatum 13-06-1857"
1825,41300,2021JJ00,2.1,6.4,GM0394,Haarlemmermeer,"Gemeentelijke herindeling per 01-01-2019
Begindatum 16-11-1855"
1836,41300,2021JJ00,0.5,9.5,GM1655,Halderberge,Ontstaan per 01-01-1997
1847,41300,2021JJ00,0.6,4.9,GM0160,Hardenberg,"Gemeentelijke herindeling per 01-01-2001
Ontstaan per 01-05-1941"
1858,41300,2021JJ00,0.7,7.3,GM0243,Harderwijk,Begindatum voor 1830
1869,41300,2021JJ00,0.2,4.3,GM0523,Hardinxveld-Giessendam,Ontstaan per 01-01-1957
1880,41300,2021JJ00,,,GM0017,Haren,"Opgeheven per 01-01-2019
Begindatum voor 1830"
1891,41300,2021JJ00,,,GM0395,Harenkarspel,"Opgeheven per 01-01-2013
Begindatum voor 1830"
1902,41300,2021JJ00,0.3,10.9,GM0072,Harlingen,Begindatum voor 1830
1913,41300,2021JJ00,0.1,4.0,GM0244,Hattem,Begindatum voor 1830
1924,41300,2021JJ00,0.7,10.4,GM0396,Heemskerk,Begindatum voor 1830
1935,41300,2021JJ00,0.2,3.4,GM0397,Heemstede,Begindatum voor 1830
1946,41300,2021JJ00,0.2,5.4,GM0246,Heerde,Begindatum voor 1830
1957,41300,2021JJ00,0.7,7.8,GM0074,Heerenveen,"Gemeentelijke herindeling per 01-01-2014
Begindatum 01-07-1934"
1968,41300,2021JJ00,0.8,6.4,GM0398,Heerhugowaard,"Opgeheven per 01-01-2022
Begindatum voor 1830"
1979,41300,2021JJ00,2.8,22.4,GM0917,Heerlen,Begindatum 02-01-1839
1990,41300,2021JJ00,0.1,4.1,GM1658,Heeze-Leende,Ontstaan per 01-01-1997
2001,41300,2021JJ00,0.2,4.4,GM0399,Heiloo,Begindatum voor 1830
2012,41300,2021JJ00,1.2,13.4,GM0400,Den Helder,Begindatum voor 1830
2023,41300,2021JJ00,0.4,5.0,GM0163,Hellendoorn,Begindatum voor 1830
2034,41300,2021JJ00,0.7,10.1,GM0530,Hellevoetsluis,"Opgeheven per 01-01-2023
Begindatum voor 1830"
2045,41300,2021JJ00,2.0,11.5,GM0794,Helmond,Begindatum voor 1830
2056,41300,2021JJ00,0.4,5.0,GM0531,Hendrik-Ido-Ambacht,Begindatum voor 1830
2067,41300,2021JJ00,1.3,9.4,GM0164,Hengelo (O.),Begindatum voor 1830
2078,41300,2021JJ00,2.5,9.0,GM0796,'s-Hertogenbosch,"Gemeentelijke herindeling per 01-01-2015
Gemeentelijke herindeling per 01-01-1996
Begindatum voor 1830"
2089,41300,2021JJ00,0.2,5.6,GM0252,Heumen,Begindatum voor 1830
2100,41300,2021JJ00,0.4,5.3,GM0797,Heusden,"Gemeentelijke herindeling per 01-01-1997
Begindatum voor 1830"
2111,41300,2021JJ00,0.3,6.2,GM0534,Hillegom,Begindatum voor 1830
2122,41300,2021JJ00,0.1,4.3,GM0798,Hilvarenbeek,"Gemeentelijke herindeling per 01-01-1997
Begindatum voor 1830"
2133,41300,2021JJ00,1.6,8.9,GM0402,Hilversum,Begindatum voor 1830
2144,41300,2021JJ00,0.8,4.7,GM1963,Hoeksche Waard,Ontstaan per 01-01-2019
2155,41300,2021JJ00,0.3,5.3,GM1735,Hof van Twente,Ontstaan per 01-01-2001
2166,41300,2021JJ00,0.7,7.9,GM1966,Het Hogeland,Ontstaan per 01-01-2019
2177,41300,2021JJ00,0.6,7.0,GM1911,Hollands Kroon,Ontstaan per 01-01-2012
2188,41300,2021JJ00,1.0,9.3,GM0118,Hoogeveen,Begindatum voor 1830
2199,41300,2021JJ00,,,GM0018,Hoogezand-Sappemeer,"Opgeheven per 01-01-2018
Ontstaan per 01-04-1949"
2210,41300,2021JJ00,1.3,9.6,GM0405,Hoorn,Begindatum voor 1830
2221,41300,2021JJ00,0.3,4.1,GM1507,Horst aan de Maas,"Gemeentelijke herindeling per 01-01-2010
Ontstaan per 01-01-2001"
2232,41300,2021JJ00,0.5,4.1,GM0321,Houten,Begindatum voor 1830
2243,41300,2021JJ00,0.6,8.3,GM0406,Huizen,Begindatum voor 1830
2254,41300,2021JJ00,0.3,7.1,GM0677,Hulst,"Gemeentelijke herindeling per 01-01-2003
Begindatum voor 1830"
2265,41300,2021JJ00,0.5,6.8,GM0353,IJsselstein,Begindatum voor 1830
2276,41300,2021JJ00,0.3,6.6,GM1884,Kaag en Braassem,Ontstaan per 01-01-2009
2287,41300,2021JJ00,0.7,5.9,GM0166,Kampen,"Gemeentelijke herindeling per 01-01-2001
Begindatum voor 1830"
2298,41300,2021JJ00,0.1,5.0,GM0678,Kapelle,Begindatum voor 1830
2309,41300,2021JJ00,0.8,5.4,GM0537,Katwijk,"Gemeentelijke herindeling per 01-01-2006
Begindatum voor 1830"
2320,41300,2021JJ00,1.2,18.5,GM0928,Kerkrade,Begindatum 02-01-1839
2331,41300,2021JJ00,0.2,4.4,GM1598,Koggenland,Ontstaan per 01-01-2007
2342,41300,2021JJ00,,,GM0079,Kollumerland en Nieuwkruisland,"Opgeheven per 01-01-2019
Begindatum voor 1830"
2353,41300,2021JJ00,,,GM0588,Korendijk,"Opgeheven per 01-01-2019
Ontstaan per 01-01-1984"
2364,41300,2021JJ00,0.5,8.5,GM0542,Krimpen aan den IJssel,Begindatum voor 1830
2375,41300,2021JJ00,0.7,6.1,GM1931,Krimpenerwaard,Ontstaan per 01-01-2015
2386,41300,2021JJ00,0.2,5.3,GM1659,Laarbeek,Ontstaan per 01-01-1997
2397,41300,2021JJ00,,,GM1982,Land van Cuijk,Ontstaan per 01-01-2022
2408,41300,2021JJ00,0.2,5.3,GM1685,Landerd,"Opgeheven per 01-01-2022
Ontstaan per 01-01-1994"
2419,41300,2021JJ00,0.8,14.6,GM0882,Landgraaf,Ontstaan per 01-01-1982
2430,41300,2021JJ00,0.1,6.2,GM0415,Landsmeer,"Gemeentelijke herindeling per 01-01-1991
Begindatum voor 1830"
2441,41300,2021JJ00,0.4,6.3,GM0416,Langedijk,"Opgeheven per 01-01-2022
Ontstaan per 01-08-1941"
2452,41300,2021JJ00,0.8,4.9,GM1621,Lansingerland,Ontstaan per 01-01-2007
2463,41300,2021JJ00,0.1,6.4,GM0417,Laren (NH.),Begindatum voor 1830
2474,41300,2021JJ00,,,GM0022,Leek,"Opgeheven per 01-01-2019
Begindatum voor 1830"
2485,41300,2021JJ00,,,GM0545,Leerdam,"Opgeheven per 01-01-2019
Provinciale wijziging per 01-01-2019
Begindatum voor 1830"
2496,41300,2021JJ00,2.7,12.7,GM0080,Leeuwarden,"Gemeentelijke herindeling per 01-01-2018
Gemeentelijke herindeling per 01-01-2014
Begindatum voor 1830"
2507,41300,2021JJ00,,,GM0081,Leeuwarderadeel,"Opgeheven per 01-01-2018
Begindatum voor 1830"
2518,41300,2021JJ00,2.2,11.8,GM0546,Leiden,Begindatum voor 1830
2529,41300,2021JJ00,0.3,6.1,GM0547,Leiderdorp,Begindatum voor 1830
2540,41300,2021JJ00,1.4,9.7,GM1916,Leidschendam-Voorburg,Ontstaan per 01-01-2002
2551,41300,2021JJ00,2.0,12.3,GM0995,Lelystad,Ontstaan per 01-01-1980
2562,41300,2021JJ00,,,GM0082,Lemsterland,"Opgeheven per 01-01-2014
Begindatum voor 1830"
2573,41300,2021JJ00,0.3,5.1,GM1640,Leudal,Ontstaan per 01-01-2007
2584,41300,2021JJ00,0.3,4.3,GM0327,Leusden,Begindatum voor 1830
2595,41300,2021JJ00,,,GM0694,Liesveld,"Opgeheven per 01-01-2013
Ontstaan per 01-01-1986"
2606,41300,2021JJ00,,,GM0733,Lingewaal,"Opgeheven per 01-01-2019
Naamswijziging per 03-01-1987"
2617,41300,2021JJ00,0.4,4.8,GM1705,Lingewaard,Naamswijziging per 01-01-2003
2628,41300,2021JJ00,0.2,5.7,GM0553,Lisse,Begindatum voor 1830
2639,41300,2021JJ00,,,GM0140,Littenseradiel,"Opgeheven per 01-01-2018
Naamswijziging per 26-01-1985"
2650,41300,2021JJ00,0.3,5.9,GM0262,Lochem,"Gemeentelijke herindeling per 01-01-2005
Begindatum voor 1830"
2661,41300,2021JJ00,0.2,6.0,GM0809,Loon op Zand,Begindatum voor 1830
2672,41300,2021JJ00,0.2,7.2,GM0331,Lopik,Begindatum voor 1830
2683,41300,2021JJ00,,,GM0024,Loppersum,"Opgeheven per 01-01-2021
Begindatum voor 1830"
2694,41300,2021JJ00,0.3,7.4,GM0168,Losser,Begindatum voor 1830
2705,41300,2021JJ00,,,GM1671,Maasdonk,"Opgeheven per 01-01-2015
Ontstaan per 01-01-1993"
2716,41300,2021JJ00,0.3,5.6,GM0263,Maasdriel,"Gemeentelijke herindeling per 01-01-1999
Naamswijziging per 01-08-1944"
2727,41300,2021JJ00,0.2,5.2,GM1641,Maasgouw,Ontstaan per 01-01-2007
2738,41300,2021JJ00,,,GM1991,Maashorst,Ontstaan per 01-01-2022
2749,41300,2021JJ00,0.8,12.7,GM0556,Maassluis,Begindatum voor 1830
2760,41300,2021JJ00,2.2,15.6,GM0935,Maastricht,Begindatum voor 1830
2771,41300,2021JJ00,,,GM1663,De Marne,"Opgeheven per 01-01-2019
Naamswijziging per 01-01-1992"
2782,41300,2021JJ00,,,GM0025,Marum,"Opgeheven per 01-01-2019
Begindatum voor 1830"
2793,41300,2021JJ00,0.6,6.9,GM0420,Medemblik,"Gemeentelijke herindeling per 01-01-2011
Gemeentelijke herindeling per 01-01-2007
Begindatum voor 1830"
2804,41300,2021JJ00,0.2,5.3,GM0938,Meerssen,Begindatum 02-01-1839
2815,41300,2021JJ00,0.9,5.7,GM1948,Meierijstad,Ontstaan per 01-01-2017
2826,41300,2021JJ00,,,GM1908,Menameradiel,"Opgeheven per 01-01-2018
Naamswijziging per 01-01-2011"
2837,41300,2021JJ00,,,GM1987,Menterwolde,"Opgeheven per 01-01-2018
Naamswijziging per 01-02-1991"
2848,41300,2021JJ00,0.5,7.7,GM0119,Meppel,"Gemeentelijke herindeling per 01-01-1998
Begindatum voor 1830"
2859,41300,2021JJ00,0.9,9.9,GM0687,Middelburg (Z.),"Gemeentelijke herindeling per 01-01-1997
Begindatum voor 1830"
2870,41300,2021JJ00,,,GM0559,Middelharnis,"Opgeheven per 01-01-2013
Begindatum voor 1830"
2881,41300,2021JJ00,0.2,5.2,GM1842,Midden-Delfland,Ontstaan per 01-01-2004
2892,41300,2021JJ00,0.3,5.5,GM1731,Midden-Drenthe,Naamswijziging per 01-01-2000
2903,41300,2021JJ00,1.3,12.2,GM1952,Midden-Groningen,Ontstaan per 01-01-2018
2914,41300,2021JJ00,0.1,6.0,GM0815,Mill en Sint Hubert,"Opgeheven per 01-01-2022
Begindatum voor 1830"
2925,41300,2021JJ00,,,GM0265,Millingen aan de Rijn,"Opgeheven per 01-01-2015
Naamswijziging per 01-01-1954"
2936,41300,2021JJ00,0.4,6.5,GM1709,Moerdijk,Naamswijziging per 04-04-1998
2947,41300,2021JJ00,0.4,4.0,GM1978,Molenlanden,Ontstaan per 01-01-2019
2958,41300,2021JJ00,,,GM1927,Molenwaard,"Opgeheven per 01-01-2019
Ontstaan per 01-01-2013"
2969,41300,2021JJ00,0.5,8.0,GM1955,Montferland,Ontstaan per 01-01-2005
2980,41300,2021JJ00,0.1,4.9,GM0335,Montfoort,Begindatum voor 1830
2991,41300,2021JJ00,0.0,3.9,GM0944,Mook en Middelaar,Begindatum 02-01-1839
3002,41300,2021JJ00,,,GM0424,Muiden,"Opgeheven per 01-01-2016
Begindatum voor 1830"
3013,41300,2021JJ00,,,GM0425,Naarden,"Opgeheven per 01-01-2016
Begindatum voor 1830"
3024,41300,2021JJ00,0.3,5.1,GM1740,Neder-Betuwe,Naamswijziging per 01-04-2003
3035,41300,2021JJ00,,,GM0643,Nederlek,"Opgeheven per 01-01-2015
Ontstaan per 01-01-1985"
3046,41300,2021JJ00,0.1,4.5,GM0946,Nederweert,Begindatum 02-01-1839
3057,41300,2021JJ00,,,GM0304,Neerijnen,"Opgeheven per 01-01-2019
Ontstaan per 01-01-1978"
3068,41300,2021JJ00,,,GM0412,Niedorp,"Opgeheven per 01-01-2012
Ontstaan per 01-08-1970"
3079,41300,2021JJ00,1.0,8.9,GM0356,Nieuwegein,Ontstaan per 01-07-1971
3090,41300,2021JJ00,0.2,4.6,GM0569,Nieuwkoop,"Gemeentelijke herindeling per 01-01-2007
Begindatum voor 1830"
